               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.032557,            0.020148,            0.019743,             0.69106,             0.58088,             0.67074,             0.43337,            0.029871,            0.007756,              0.0349,             0.00406,             0.00406,             0.00406
                  38,            0.032939,            0.019671,            0.021404,             0.62876,             0.68278,             0.69896,             0.46383,            0.028565,           0.0076349,            0.034556,            0.003895,            0.003895,            0.003895
                  39,            0.032093,            0.019387,            0.020264,             0.58239,             0.70499,             0.69276,             0.44702,            0.027685,           0.0074482,            0.035835,             0.00373,             0.00373,             0.00373
                  40,             0.03172,            0.018915,             0.01999,              0.7175,             0.69049,             0.75574,             0.50684,            0.027612,            0.007776,            0.030621,            0.003565,            0.003565,            0.003565
                  41,            0.031554,             0.01912,            0.020975,             0.68311,             0.71067,             0.75084,             0.48731,            0.025583,           0.0076018,            0.034135,              0.0034,              0.0034,              0.0034
                  42,            0.031991,            0.019776,            0.022495,             0.69612,             0.68526,             0.73409,             0.46853,            0.026308,           0.0076375,            0.037085,            0.003235,            0.003235,            0.003235
                  43,            0.030715,            0.018673,            0.018871,             0.71296,             0.72568,             0.74941,             0.50539,            0.025182,           0.0075132,            0.036311,             0.00307,             0.00307,             0.00307
                  44,            0.029653,            0.018673,            0.018582,              0.7921,             0.74013,              0.7995,             0.53508,            0.026721,           0.0075314,            0.030677,            0.002905,            0.002905,            0.002905
                  45,            0.029963,            0.019207,            0.019078,             0.79573,             0.65067,             0.78207,             0.52785,            0.026067,           0.0075144,            0.033559,             0.00274,             0.00274,             0.00274
                  46,            0.029908,            0.019499,            0.019107,             0.79031,             0.72757,             0.79629,              0.5327,             0.02661,           0.0073585,            0.029861,            0.002575,            0.002575,            0.002575
                  47,            0.028357,            0.018194,            0.015899,             0.78455,              0.7357,             0.79439,             0.54324,            0.026812,           0.0070996,            0.028739,             0.00241,             0.00241,             0.00241
                  48,            0.030066,            0.018919,            0.018025,             0.76738,             0.71722,             0.77834,             0.52777,            0.026888,           0.0072061,            0.031136,            0.002245,            0.002245,            0.002245
                  49,            0.026793,            0.018289,            0.015673,             0.78458,             0.71763,             0.78061,             0.53758,            0.027626,           0.0071269,            0.031082,             0.00208,             0.00208,             0.00208
                  50,            0.028868,            0.017856,            0.017453,             0.72204,             0.76794,             0.77712,             0.54338,            0.027281,           0.0071741,            0.030857,            0.001915,            0.001915,            0.001915
                  51,            0.026713,            0.016634,            0.015402,             0.75949,             0.74787,             0.77087,              0.5398,            0.026458,           0.0072717,             0.03406,             0.00175,             0.00175,             0.00175
                  52,             0.02901,            0.017888,            0.016616,             0.80228,             0.71539,             0.78236,             0.54175,            0.027285,           0.0071365,            0.031452,            0.001585,            0.001585,            0.001585
                  53,            0.027149,            0.017951,            0.015203,             0.76582,             0.74249,             0.79138,             0.54287,            0.025941,           0.0070479,             0.03369,             0.00142,             0.00142,             0.00142
                  54,            0.026751,            0.017543,            0.013658,             0.77657,             0.75838,             0.78565,             0.54792,            0.024832,           0.0072163,            0.035196,            0.001255,            0.001255,            0.001255
                  55,             0.02629,            0.018132,            0.014973,             0.78506,             0.76168,              0.7883,             0.54531,            0.025145,           0.0071601,            0.035427,             0.00109,             0.00109,             0.00109
                  56,            0.024902,            0.016612,            0.015164,             0.73636,             0.78711,             0.79045,             0.55739,            0.025062,           0.0071916,            0.036197,            0.000925,            0.000925,            0.000925
                  57,            0.024953,            0.017112,             0.01396,             0.73785,             0.77811,             0.78657,             0.55503,            0.024999,           0.0070868,            0.037043,             0.00076,             0.00076,             0.00076
                  58,            0.025121,            0.017408,            0.012297,             0.79533,             0.75421,             0.77749,             0.55011,            0.025052,           0.0070815,            0.037079,            0.000595,            0.000595,            0.000595
                  59,            0.025684,            0.017687,            0.017014,             0.76439,             0.77288,             0.78076,             0.54596,            0.025939,           0.0071236,            0.035823,             0.00043,             0.00043,             0.00043
