epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,778.586,0.71483,0.85873,1.08986,0.84479,0.79825,0.84754,0.66862,0.7913,0.98708,1.17517,0.000248772,0.000248772,0.000248772
43,795.892,0.7199,0.85207,1.09436,0.81992,0.80037,0.85038,0.67323,0.76158,0.97949,1.15231,0.000236083,0.000236083,0.000236083
44,815.722,0.70425,0.83323,1.09288,0.79928,0.77104,0.8177,0.63417,0.80346,1.12162,1.19725,0.000223395,0.000223395,0.000223395
45,834.663,0.7145,0.81138,1.07976,0.81045,0.81506,0.83373,0.6597,0.75446,1.04526,1.13766,0.000210706,0.000210706,0.000210706
46,853.535,0.72923,0.81143,1.10287,0.87233,0.77349,0.84107,0.657,0.79067,1.00084,1.17154,0.000198018,0.000198018,0.000198018
47,872.252,0.67608,0.78864,1.0684,0.79418,0.81942,0.85733,0.69014,0.74945,0.95962,1.12577,0.000185329,0.000185329,0.000185329
48,892.032,0.68741,0.77911,1.08729,0.86438,0.77936,0.86519,0.69142,0.75636,0.96153,1.13846,0.000172641,0.000172641,0.000172641
49,913.827,0.68357,0.77235,1.07118,0.84988,0.78368,0.84908,0.68202,0.75814,0.98306,1.14118,0.000159952,0.000159952,0.000159952
50,936.463,0.66605,0.75948,1.05981,0.86077,0.80015,0.86403,0.69627,0.73934,0.96608,1.12473,0.000147264,0.000147264,0.000147264
51,956.76,0.56313,0.70191,1.03265,0.82095,0.81885,0.85278,0.66332,0.81729,1.04013,1.20607,0.000134575,0.000134575,0.000134575
52,975.617,0.53135,0.6288,1.01481,0.84342,0.80965,0.86553,0.68132,0.79287,0.9788,1.18432,0.000121887,0.000121887,0.000121887
53,993.517,0.53666,0.61359,1.0084,0.85199,0.79249,0.85336,0.67872,0.76967,1.0177,1.16089,0.000109198,0.000109198,0.000109198
54,1011.25,0.51742,0.59555,1.00307,0.87687,0.77165,0.85942,0.68698,0.75576,1.00395,1.14833,9.65095e-05,9.65095e-05,9.65095e-05
55,1030.01,0.51008,0.55693,0.98859,0.83267,0.78184,0.84236,0.67012,0.75114,1.02599,1.15134,8.3821e-05,8.3821e-05,8.3821e-05
56,1048.12,0.51916,0.5757,0.9952,0.84742,0.77494,0.85508,0.6841,0.75448,0.9904,1.14631,7.11325e-05,7.11325e-05,7.11325e-05
57,1066.69,0.50359,0.56643,1.00321,0.82182,0.81039,0.8526,0.68235,0.74605,1.04507,1.13605,5.8444e-05,5.8444e-05,5.8444e-05
58,1084.34,0.49957,0.5659,1.00358,0.81263,0.82873,0.83605,0.67521,0.74003,1.02961,1.13107,4.57555e-05,4.57555e-05,4.57555e-05
59,1102.03,0.4897,0.54424,0.98547,0.80563,0.82979,0.8324,0.67904,0.72442,1.04154,1.11786,3.3067e-05,3.3067e-05,3.3067e-05
60,1120.88,0.47754,0.54619,0.98432,0.79115,0.84771,0.84104,0.68582,0.72404,1.04611,1.11934,2.03785e-05,2.03785e-05,2.03785e-05
